"ecoregion","metierL4","species"
"Greenland Sea","OTT","Rajella lintea"
"Norwegian Sea","OTT","Rajella lintea"
"Oceanic Northeast Atlantic","OTT","Rajella lintea"
"Western Mediterranean Sea","OTT","Rajella lintea"
"Adriatic Sea","OTB","Rhinochimaera atlantica"
"Aegean-Levantine Sea","OTB","Rhinochimaera atlantica"
"Baltic Sea","OTB","Rhinochimaera atlantica"
"Barents Sea","OTB","Rhinochimaera atlantica"
"Bay of Biscay and the Iberian Coast","OTB","Rhinochimaera atlantica"
"Celtic Seas","OTB","Rhinochimaera atlantica"
"Faroes","OTB","Rhinochimaera atlantica"
"Greater North Sea","OTB","Rhinochimaera atlantica"
"Greenland Sea","OTB","Rhinochimaera atlantica"
"Icelandic Waters","OTB","Rhinochimaera atlantica"
"Ionian Sea and the Central Mediterranean Sea","OTB","Rhinochimaera atlantica"
"Norwegian Sea","OTB","Rhinochimaera atlantica"
"Oceanic Northeast Atlantic","OTB","Rhinochimaera atlantica"
"Western Mediterranean Sea","OTB","Rhinochimaera atlantica"
NA,"OTB","Rhinochimaera atlantica"
"Adriatic Sea","GNS","Rissa"
"Aegean-Levantine Sea","GNS","Rissa"
"Azores","GNS","Rissa"
"Baltic Sea","GNS","Rissa"
"Barents Sea","GNS","Rissa"
"Bay of Biscay and the Iberian Coast","GNS","Rissa"
"Black Sea","GNS","Rissa"
"Celtic Seas","GNS","Rissa"
"Greater North Sea","GNS","Rissa"
"Icelandic Waters","GNS","Rissa"
"Ionian Sea and the Central Mediterranean Sea","GNS","Rissa"
"Norwegian Sea","GNS","Rissa"
"Oceanic Northeast Atlantic","GNS","Rissa"
"Western Mediterranean Sea","GNS","Rissa"
"Adriatic Sea","GNS","Rissa tridactyla"
"Aegean-Levantine Sea","GNS","Rissa tridactyla"
"Azores","GNS","Rissa tridactyla"
"Baltic Sea","GNS","Rissa tridactyla"
"Barents Sea","GNS","Rissa tridactyla"
"Bay of Biscay and the Iberian Coast","GNS","Rissa tridactyla"
"Black Sea","GNS","Rissa tridactyla"
"Celtic Seas","GNS","Rissa tridactyla"
"Greater North Sea","GNS","Rissa tridactyla"
"Icelandic Waters","GNS","Rissa tridactyla"
"Ionian Sea and the Central Mediterranean Sea","GNS","Rissa tridactyla"
"Norwegian Sea","GNS","Rissa tridactyla"
"Oceanic Northeast Atlantic","GNS","Rissa tridactyla"
"Western Mediterranean Sea","GNS","Rissa tridactyla"
"Adriatic Sea","GTR","Rissa tridactyla"
"Aegean-Levantine Sea","GTR","Rissa tridactyla"
"Baltic Sea","GTR","Rissa tridactyla"
"Bay of Biscay and the Iberian Coast","GTR","Rissa tridactyla"
"Celtic Seas","GTR","Rissa tridactyla"
"Greater North Sea","GTR","Rissa tridactyla"
"Ionian Sea and the Central Mediterranean Sea","GTR","Rissa tridactyla"
"Oceanic Northeast Atlantic","GTR","Rissa tridactyla"
"Western Mediterranean Sea","GTR","Rissa tridactyla"
"Adriatic Sea","LLS","Rissa tridactyla"
"Aegean-Levantine Sea","LLS","Rissa tridactyla"
"Azores","LLS","Rissa tridactyla"
"Baltic Sea","LLS","Rissa tridactyla"
"Bay of Biscay and the Iberian Coast","LLS","Rissa tridactyla"
"Black Sea","LLS","Rissa tridactyla"
"Celtic Seas","LLS","Rissa tridactyla"
"Faroes","LLS","Rissa tridactyla"
"Greater North Sea","LLS","Rissa tridactyla"
"Icelandic Waters","LLS","Rissa tridactyla"
"Ionian Sea and the Central Mediterranean Sea","LLS","Rissa tridactyla"
"Oceanic Northeast Atlantic","LLS","Rissa tridactyla"
"Western Mediterranean Sea","LLS","Rissa tridactyla"
"Baltic Sea","PTB","Rissa tridactyla"
"Bay of Biscay and the Iberian Coast","PTB","Rissa tridactyla"
"Celtic Seas","PTB","Rissa tridactyla"
"Greater North Sea","PTB","Rissa tridactyla"
"Adriatic Sea","OTB","Rostroraja alba"
"Aegean-Levantine Sea","OTB","Rostroraja alba"
"Baltic Sea","OTB","Rostroraja alba"
"Barents Sea","OTB","Rostroraja alba"
"Bay of Biscay and the Iberian Coast","OTB","Rostroraja alba"
"Celtic Seas","OTB","Rostroraja alba"
"Faroes","OTB","Rostroraja alba"
"Greater North Sea","OTB","Rostroraja alba"
"Greenland Sea","OTB","Rostroraja alba"
"Icelandic Waters","OTB","Rostroraja alba"
"Ionian Sea and the Central Mediterranean Sea","OTB","Rostroraja alba"
"Norwegian Sea","OTB","Rostroraja alba"
"Oceanic Northeast Atlantic","OTB","Rostroraja alba"
"Western Mediterranean Sea","OTB","Rostroraja alba"
NA,"OTB","Rostroraja alba"
"Adriatic Sea","FPO","Rutilus rutilus"
"Aegean-Levantine Sea","FPO","Rutilus rutilus"
"Azores","FPO","Rutilus rutilus"
"Baltic Sea","FPO","Rutilus rutilus"
"Bay of Biscay and the Iberian Coast","FPO","Rutilus rutilus"
"Black Sea","FPO","Rutilus rutilus"
"Celtic Seas","FPO","Rutilus rutilus"
"Faroes","FPO","Rutilus rutilus"
"Greater North Sea","FPO","Rutilus rutilus"
"Icelandic Waters","FPO","Rutilus rutilus"
"Ionian Sea and the Central Mediterranean Sea","FPO","Rutilus rutilus"
"Oceanic Northeast Atlantic","FPO","Rutilus rutilus"
"Western Mediterranean Sea","FPO","Rutilus rutilus"
"Adriatic Sea","FYK","Rutilus rutilus"
"Baltic Sea","FYK","Rutilus rutilus"
"Bay of Biscay and the Iberian Coast","FYK","Rutilus rutilus"
"Greater North Sea","FYK","Rutilus rutilus"
"Ionian Sea and the Central Mediterranean Sea","FYK","Rutilus rutilus"
"Western Mediterranean Sea","FYK","Rutilus rutilus"
"Adriatic Sea","FPO","Salmo salar"
"Aegean-Levantine Sea","FPO","Salmo salar"
"Azores","FPO","Salmo salar"
"Baltic Sea","FPO","Salmo salar"
"Bay of Biscay and the Iberian Coast","FPO","Salmo salar"
"Black Sea","FPO","Salmo salar"
"Celtic Seas","FPO","Salmo salar"
"Faroes","FPO","Salmo salar"
"Greater North Sea","FPO","Salmo salar"
"Icelandic Waters","FPO","Salmo salar"
"Ionian Sea and the Central Mediterranean Sea","FPO","Salmo salar"
"Oceanic Northeast Atlantic","FPO","Salmo salar"
"Western Mediterranean Sea","FPO","Salmo salar"
"Adriatic Sea","GNS","Salmo salar"
"Aegean-Levantine Sea","GNS","Salmo salar"
"Azores","GNS","Salmo salar"
"Baltic Sea","GNS","Salmo salar"
"Barents Sea","GNS","Salmo salar"
"Bay of Biscay and the Iberian Coast","GNS","Salmo salar"
"Black Sea","GNS","Salmo salar"
"Celtic Seas","GNS","Salmo salar"
"Greater North Sea","GNS","Salmo salar"
"Icelandic Waters","GNS","Salmo salar"
"Ionian Sea and the Central Mediterranean Sea","GNS","Salmo salar"
"Norwegian Sea","GNS","Salmo salar"
"Oceanic Northeast Atlantic","GNS","Salmo salar"
"Western Mediterranean Sea","GNS","Salmo salar"
"Adriatic Sea","OTM","Salmo salar"
"Baltic Sea","OTM","Salmo salar"
"Bay of Biscay and the Iberian Coast","OTM","Salmo salar"
"Black Sea","OTM","Salmo salar"
"Celtic Seas","OTM","Salmo salar"
"Faroes","OTM","Salmo salar"
"Greater North Sea","OTM","Salmo salar"
"Icelandic Waters","OTM","Salmo salar"
"Ionian Sea and the Central Mediterranean Sea","OTM","Salmo salar"
"Norwegian Sea","OTM","Salmo salar"
"Oceanic Northeast Atlantic","OTM","Salmo salar"
"Western Mediterranean Sea","OTM","Salmo salar"
"Adriatic Sea","FPO","Salmo trutta"
"Aegean-Levantine Sea","FPO","Salmo trutta"
"Azores","FPO","Salmo trutta"
"Baltic Sea","FPO","Salmo trutta"
"Bay of Biscay and the Iberian Coast","FPO","Salmo trutta"
"Black Sea","FPO","Salmo trutta"
"Celtic Seas","FPO","Salmo trutta"
"Faroes","FPO","Salmo trutta"
"Greater North Sea","FPO","Salmo trutta"
"Icelandic Waters","FPO","Salmo trutta"
"Ionian Sea and the Central Mediterranean Sea","FPO","Salmo trutta"
"Oceanic Northeast Atlantic","FPO","Salmo trutta"
"Western Mediterranean Sea","FPO","Salmo trutta"
"Adriatic Sea","FYK","Salmo trutta"
"Baltic Sea","FYK","Salmo trutta"
"Bay of Biscay and the Iberian Coast","FYK","Salmo trutta"
"Greater North Sea","FYK","Salmo trutta"
"Ionian Sea and the Central Mediterranean Sea","FYK","Salmo trutta"
"Western Mediterranean Sea","FYK","Salmo trutta"
"Adriatic Sea","GNS","Salmo trutta"
"Aegean-Levantine Sea","GNS","Salmo trutta"
"Azores","GNS","Salmo trutta"
"Baltic Sea","GNS","Salmo trutta"
"Barents Sea","GNS","Salmo trutta"
"Bay of Biscay and the Iberian Coast","GNS","Salmo trutta"
"Black Sea","GNS","Salmo trutta"
"Celtic Seas","GNS","Salmo trutta"
"Greater North Sea","GNS","Salmo trutta"
"Icelandic Waters","GNS","Salmo trutta"
"Ionian Sea and the Central Mediterranean Sea","GNS","Salmo trutta"
"Norwegian Sea","GNS","Salmo trutta"
"Oceanic Northeast Atlantic","GNS","Salmo trutta"
"Western Mediterranean Sea","GNS","Salmo trutta"
"Adriatic Sea","OTM","Salmo trutta"
"Baltic Sea","OTM","Salmo trutta"
"Bay of Biscay and the Iberian Coast","OTM","Salmo trutta"
"Black Sea","OTM","Salmo trutta"
"Celtic Seas","OTM","Salmo trutta"
"Faroes","OTM","Salmo trutta"
"Greater North Sea","OTM","Salmo trutta"
"Icelandic Waters","OTM","Salmo trutta"
"Ionian Sea and the Central Mediterranean Sea","OTM","Salmo trutta"
"Norwegian Sea","OTM","Salmo trutta"
"Oceanic Northeast Atlantic","OTM","Salmo trutta"
"Western Mediterranean Sea","OTM","Salmo trutta"
"Adriatic Sea","FPO","Sander lucioperca"
"Aegean-Levantine Sea","FPO","Sander lucioperca"
"Azores","FPO","Sander lucioperca"
"Baltic Sea","FPO","Sander lucioperca"
"Bay of Biscay and the Iberian Coast","FPO","Sander lucioperca"
"Black Sea","FPO","Sander lucioperca"
"Celtic Seas","FPO","Sander lucioperca"
"Faroes","FPO","Sander lucioperca"
"Greater North Sea","FPO","Sander lucioperca"
"Icelandic Waters","FPO","Sander lucioperca"
"Ionian Sea and the Central Mediterranean Sea","FPO","Sander lucioperca"
"Oceanic Northeast Atlantic","FPO","Sander lucioperca"
"Western Mediterranean Sea","FPO","Sander lucioperca"
"Adriatic Sea","FYK","Sander lucioperca"
"Baltic Sea","FYK","Sander lucioperca"
"Bay of Biscay and the Iberian Coast","FYK","Sander lucioperca"
"Greater North Sea","FYK","Sander lucioperca"
"Ionian Sea and the Central Mediterranean Sea","FYK","Sander lucioperca"
"Western Mediterranean Sea","FYK","Sander lucioperca"
"Adriatic Sea","GNS","Sander lucioperca"
"Aegean-Levantine Sea","GNS","Sander lucioperca"
"Azores","GNS","Sander lucioperca"
"Baltic Sea","GNS","Sander lucioperca"
"Barents Sea","GNS","Sander lucioperca"
"Bay of Biscay and the Iberian Coast","GNS","Sander lucioperca"
"Black Sea","GNS","Sander lucioperca"
"Celtic Seas","GNS","Sander lucioperca"
"Greater North Sea","GNS","Sander lucioperca"
"Icelandic Waters","GNS","Sander lucioperca"
"Ionian Sea and the Central Mediterranean Sea","GNS","Sander lucioperca"
"Norwegian Sea","GNS","Sander lucioperca"
"Oceanic Northeast Atlantic","GNS","Sander lucioperca"
"Western Mediterranean Sea","GNS","Sander lucioperca"
"Adriatic Sea","OTM","Sander lucioperca"
"Baltic Sea","OTM","Sander lucioperca"
"Bay of Biscay and the Iberian Coast","OTM","Sander lucioperca"
"Black Sea","OTM","Sander lucioperca"
"Celtic Seas","OTM","Sander lucioperca"
"Faroes","OTM","Sander lucioperca"
"Greater North Sea","OTM","Sander lucioperca"
"Icelandic Waters","OTM","Sander lucioperca"
"Ionian Sea and the Central Mediterranean Sea","OTM","Sander lucioperca"
"Norwegian Sea","OTM","Sander lucioperca"
"Oceanic Northeast Atlantic","OTM","Sander lucioperca"
"Western Mediterranean Sea","OTM","Sander lucioperca"
"Adriatic Sea","GNS","Sciaena umbra"
"Aegean-Levantine Sea","GNS","Sciaena umbra"
"Azores","GNS","Sciaena umbra"
"Baltic Sea","GNS","Sciaena umbra"
"Barents Sea","GNS","Sciaena umbra"
"Bay of Biscay and the Iberian Coast","GNS","Sciaena umbra"
"Black Sea","GNS","Sciaena umbra"
"Celtic Seas","GNS","Sciaena umbra"
"Greater North Sea","GNS","Sciaena umbra"
"Icelandic Waters","GNS","Sciaena umbra"
"Ionian Sea and the Central Mediterranean Sea","GNS","Sciaena umbra"
"Norwegian Sea","GNS","Sciaena umbra"
"Oceanic Northeast Atlantic","GNS","Sciaena umbra"
"Western Mediterranean Sea","GNS","Sciaena umbra"
"Adriatic Sea","GTR","Sciaena umbra"
"Aegean-Levantine Sea","GTR","Sciaena umbra"
"Baltic Sea","GTR","Sciaena umbra"
"Bay of Biscay and the Iberian Coast","GTR","Sciaena umbra"
"Celtic Seas","GTR","Sciaena umbra"
"Greater North Sea","GTR","Sciaena umbra"
"Ionian Sea and the Central Mediterranean Sea","GTR","Sciaena umbra"
"Oceanic Northeast Atlantic","GTR","Sciaena umbra"
"Western Mediterranean Sea","GTR","Sciaena umbra"
"Adriatic Sea","LLS","Sciaena umbra"
"Aegean-Levantine Sea","LLS","Sciaena umbra"
"Azores","LLS","Sciaena umbra"
"Baltic Sea","LLS","Sciaena umbra"
"Bay of Biscay and the Iberian Coast","LLS","Sciaena umbra"
"Black Sea","LLS","Sciaena umbra"
"Celtic Seas","LLS","Sciaena umbra"
"Faroes","LLS","Sciaena umbra"
"Greater North Sea","LLS","Sciaena umbra"
"Icelandic Waters","LLS","Sciaena umbra"
"Ionian Sea and the Central Mediterranean Sea","LLS","Sciaena umbra"
"Oceanic Northeast Atlantic","LLS","Sciaena umbra"
"Western Mediterranean Sea","LLS","Sciaena umbra"
"Adriatic Sea","OTB","Sciaena umbra"
"Aegean-Levantine Sea","OTB","Sciaena umbra"
"Baltic Sea","OTB","Sciaena umbra"
"Barents Sea","OTB","Sciaena umbra"
"Bay of Biscay and the Iberian Coast","OTB","Sciaena umbra"
"Celtic Seas","OTB","Sciaena umbra"
"Faroes","OTB","Sciaena umbra"
"Greater North Sea","OTB","Sciaena umbra"
"Greenland Sea","OTB","Sciaena umbra"
"Icelandic Waters","OTB","Sciaena umbra"
"Ionian Sea and the Central Mediterranean Sea","OTB","Sciaena umbra"
"Norwegian Sea","OTB","Sciaena umbra"
"Oceanic Northeast Atlantic","OTB","Sciaena umbra"
"Western Mediterranean Sea","OTB","Sciaena umbra"
NA,"OTB","Sciaena umbra"
"Adriatic Sea","OTB","Scomber scombrus"
"Aegean-Levantine Sea","OTB","Scomber scombrus"
"Baltic Sea","OTB","Scomber scombrus"
"Barents Sea","OTB","Scomber scombrus"
"Bay of Biscay and the Iberian Coast","OTB","Scomber scombrus"
"Celtic Seas","OTB","Scomber scombrus"
"Faroes","OTB","Scomber scombrus"
"Greater North Sea","OTB","Scomber scombrus"
"Greenland Sea","OTB","Scomber scombrus"
"Icelandic Waters","OTB","Scomber scombrus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Scomber scombrus"
"Norwegian Sea","OTB","Scomber scombrus"
"Oceanic Northeast Atlantic","OTB","Scomber scombrus"
"Western Mediterranean Sea","OTB","Scomber scombrus"
NA,"OTB","Scomber scombrus"
"Adriatic Sea","FPO","Scophthalmus maximus"
"Aegean-Levantine Sea","FPO","Scophthalmus maximus"
"Azores","FPO","Scophthalmus maximus"
"Baltic Sea","FPO","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","FPO","Scophthalmus maximus"
"Black Sea","FPO","Scophthalmus maximus"
"Celtic Seas","FPO","Scophthalmus maximus"
"Faroes","FPO","Scophthalmus maximus"
"Greater North Sea","FPO","Scophthalmus maximus"
"Icelandic Waters","FPO","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","FPO","Scophthalmus maximus"
"Oceanic Northeast Atlantic","FPO","Scophthalmus maximus"
"Western Mediterranean Sea","FPO","Scophthalmus maximus"
"Adriatic Sea","GND","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","GND","Scophthalmus maximus"
"Celtic Seas","GND","Scophthalmus maximus"
"Greater North Sea","GND","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","GND","Scophthalmus maximus"
"Western Mediterranean Sea","GND","Scophthalmus maximus"
"Adriatic Sea","GNS","Scophthalmus maximus"
"Aegean-Levantine Sea","GNS","Scophthalmus maximus"
"Azores","GNS","Scophthalmus maximus"
"Baltic Sea","GNS","Scophthalmus maximus"
"Barents Sea","GNS","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","GNS","Scophthalmus maximus"
"Black Sea","GNS","Scophthalmus maximus"
"Celtic Seas","GNS","Scophthalmus maximus"
"Greater North Sea","GNS","Scophthalmus maximus"
"Icelandic Waters","GNS","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Scophthalmus maximus"
"Norwegian Sea","GNS","Scophthalmus maximus"
"Oceanic Northeast Atlantic","GNS","Scophthalmus maximus"
"Western Mediterranean Sea","GNS","Scophthalmus maximus"
"Adriatic Sea","GTR","Scophthalmus maximus"
"Aegean-Levantine Sea","GTR","Scophthalmus maximus"
"Baltic Sea","GTR","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","GTR","Scophthalmus maximus"
"Celtic Seas","GTR","Scophthalmus maximus"
"Greater North Sea","GTR","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Scophthalmus maximus"
"Oceanic Northeast Atlantic","GTR","Scophthalmus maximus"
"Western Mediterranean Sea","GTR","Scophthalmus maximus"
"Adriatic Sea","LLS","Scophthalmus maximus"
"Aegean-Levantine Sea","LLS","Scophthalmus maximus"
"Azores","LLS","Scophthalmus maximus"
"Baltic Sea","LLS","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","LLS","Scophthalmus maximus"
"Black Sea","LLS","Scophthalmus maximus"
"Celtic Seas","LLS","Scophthalmus maximus"
"Faroes","LLS","Scophthalmus maximus"
"Greater North Sea","LLS","Scophthalmus maximus"
"Icelandic Waters","LLS","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","LLS","Scophthalmus maximus"
"Oceanic Northeast Atlantic","LLS","Scophthalmus maximus"
"Western Mediterranean Sea","LLS","Scophthalmus maximus"
"Adriatic Sea","OTB","Scophthalmus maximus"
"Aegean-Levantine Sea","OTB","Scophthalmus maximus"
"Baltic Sea","OTB","Scophthalmus maximus"
"Barents Sea","OTB","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","OTB","Scophthalmus maximus"
"Celtic Seas","OTB","Scophthalmus maximus"
"Faroes","OTB","Scophthalmus maximus"
"Greater North Sea","OTB","Scophthalmus maximus"
"Greenland Sea","OTB","Scophthalmus maximus"
"Icelandic Waters","OTB","Scophthalmus maximus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Scophthalmus maximus"
"Norwegian Sea","OTB","Scophthalmus maximus"
"Oceanic Northeast Atlantic","OTB","Scophthalmus maximus"
"Western Mediterranean Sea","OTB","Scophthalmus maximus"
NA,"OTB","Scophthalmus maximus"
"Barents Sea","OTT","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","OTT","Scophthalmus maximus"
"Celtic Seas","OTT","Scophthalmus maximus"
"Faroes","OTT","Scophthalmus maximus"
"Greater North Sea","OTT","Scophthalmus maximus"
"Greenland Sea","OTT","Scophthalmus maximus"
"Norwegian Sea","OTT","Scophthalmus maximus"
"Oceanic Northeast Atlantic","OTT","Scophthalmus maximus"
"Western Mediterranean Sea","OTT","Scophthalmus maximus"
"Baltic Sea","SSC","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","SSC","Scophthalmus maximus"
"Celtic Seas","SSC","Scophthalmus maximus"
"Greater North Sea","SSC","Scophthalmus maximus"
"Adriatic Sea","TBB","Scophthalmus maximus"
"Barents Sea","TBB","Scophthalmus maximus"
"Bay of Biscay and the Iberian Coast","TBB","Scophthalmus maximus"
"Black Sea","TBB","Scophthalmus maximus"
"Celtic Seas","TBB","Scophthalmus maximus"
"Greater North Sea","TBB","Scophthalmus maximus"
"Norwegian Sea","TBB","Scophthalmus maximus"
"Western Mediterranean Sea","TBB","Scophthalmus maximus"
"Adriatic Sea","GND","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","GND","Scophthalmus rhombus"
"Celtic Seas","GND","Scophthalmus rhombus"
"Greater North Sea","GND","Scophthalmus rhombus"
"Ionian Sea and the Central Mediterranean Sea","GND","Scophthalmus rhombus"
"Western Mediterranean Sea","GND","Scophthalmus rhombus"
"Adriatic Sea","GNS","Scophthalmus rhombus"
"Aegean-Levantine Sea","GNS","Scophthalmus rhombus"
"Azores","GNS","Scophthalmus rhombus"
"Baltic Sea","GNS","Scophthalmus rhombus"
"Barents Sea","GNS","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","GNS","Scophthalmus rhombus"
"Black Sea","GNS","Scophthalmus rhombus"
"Celtic Seas","GNS","Scophthalmus rhombus"
"Greater North Sea","GNS","Scophthalmus rhombus"
"Icelandic Waters","GNS","Scophthalmus rhombus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Scophthalmus rhombus"
"Norwegian Sea","GNS","Scophthalmus rhombus"
"Oceanic Northeast Atlantic","GNS","Scophthalmus rhombus"
"Western Mediterranean Sea","GNS","Scophthalmus rhombus"
"Adriatic Sea","GTR","Scophthalmus rhombus"
"Aegean-Levantine Sea","GTR","Scophthalmus rhombus"
"Baltic Sea","GTR","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","GTR","Scophthalmus rhombus"
"Celtic Seas","GTR","Scophthalmus rhombus"
"Greater North Sea","GTR","Scophthalmus rhombus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Scophthalmus rhombus"
"Oceanic Northeast Atlantic","GTR","Scophthalmus rhombus"
"Western Mediterranean Sea","GTR","Scophthalmus rhombus"
"Adriatic Sea","OTB","Scophthalmus rhombus"
"Aegean-Levantine Sea","OTB","Scophthalmus rhombus"
"Baltic Sea","OTB","Scophthalmus rhombus"
"Barents Sea","OTB","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","OTB","Scophthalmus rhombus"
"Celtic Seas","OTB","Scophthalmus rhombus"
"Faroes","OTB","Scophthalmus rhombus"
"Greater North Sea","OTB","Scophthalmus rhombus"
"Greenland Sea","OTB","Scophthalmus rhombus"
"Icelandic Waters","OTB","Scophthalmus rhombus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Scophthalmus rhombus"
"Norwegian Sea","OTB","Scophthalmus rhombus"
"Oceanic Northeast Atlantic","OTB","Scophthalmus rhombus"
"Western Mediterranean Sea","OTB","Scophthalmus rhombus"
NA,"OTB","Scophthalmus rhombus"
"Barents Sea","OTT","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","OTT","Scophthalmus rhombus"
"Celtic Seas","OTT","Scophthalmus rhombus"
"Faroes","OTT","Scophthalmus rhombus"
"Greater North Sea","OTT","Scophthalmus rhombus"
"Greenland Sea","OTT","Scophthalmus rhombus"
"Norwegian Sea","OTT","Scophthalmus rhombus"
"Oceanic Northeast Atlantic","OTT","Scophthalmus rhombus"
"Western Mediterranean Sea","OTT","Scophthalmus rhombus"
"Baltic Sea","SSC","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","SSC","Scophthalmus rhombus"
"Celtic Seas","SSC","Scophthalmus rhombus"
"Greater North Sea","SSC","Scophthalmus rhombus"
"Adriatic Sea","TBB","Scophthalmus rhombus"
"Barents Sea","TBB","Scophthalmus rhombus"
"Bay of Biscay and the Iberian Coast","TBB","Scophthalmus rhombus"
"Black Sea","TBB","Scophthalmus rhombus"
"Celtic Seas","TBB","Scophthalmus rhombus"
"Greater North Sea","TBB","Scophthalmus rhombus"
"Norwegian Sea","TBB","Scophthalmus rhombus"
"Western Mediterranean Sea","TBB","Scophthalmus rhombus"
"Adriatic Sea","GNS","Scorpaena scrofa"
"Aegean-Levantine Sea","GNS","Scorpaena scrofa"
"Azores","GNS","Scorpaena scrofa"
"Baltic Sea","GNS","Scorpaena scrofa"
"Barents Sea","GNS","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","GNS","Scorpaena scrofa"
"Black Sea","GNS","Scorpaena scrofa"
"Celtic Seas","GNS","Scorpaena scrofa"
"Greater North Sea","GNS","Scorpaena scrofa"
"Icelandic Waters","GNS","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","GNS","Scorpaena scrofa"
"Norwegian Sea","GNS","Scorpaena scrofa"
"Oceanic Northeast Atlantic","GNS","Scorpaena scrofa"
"Western Mediterranean Sea","GNS","Scorpaena scrofa"
"Adriatic Sea","GTR","Scorpaena scrofa"
"Aegean-Levantine Sea","GTR","Scorpaena scrofa"
"Baltic Sea","GTR","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","GTR","Scorpaena scrofa"
"Celtic Seas","GTR","Scorpaena scrofa"
"Greater North Sea","GTR","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","GTR","Scorpaena scrofa"
"Oceanic Northeast Atlantic","GTR","Scorpaena scrofa"
"Western Mediterranean Sea","GTR","Scorpaena scrofa"
"Adriatic Sea","LHM","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","LHM","Scorpaena scrofa"
"Black Sea","LHM","Scorpaena scrofa"
"Greater North Sea","LHM","Scorpaena scrofa"
"Icelandic Waters","LHM","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","LHM","Scorpaena scrofa"
"Western Mediterranean Sea","LHM","Scorpaena scrofa"
"Adriatic Sea","LHP","Scorpaena scrofa"
"Azores","LHP","Scorpaena scrofa"
"Baltic Sea","LHP","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","LHP","Scorpaena scrofa"
"Black Sea","LHP","Scorpaena scrofa"
"Celtic Seas","LHP","Scorpaena scrofa"
"Greater North Sea","LHP","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","LHP","Scorpaena scrofa"
"Western Mediterranean Sea","LHP","Scorpaena scrofa"
"Adriatic Sea","LLS","Scorpaena scrofa"
"Aegean-Levantine Sea","LLS","Scorpaena scrofa"
"Azores","LLS","Scorpaena scrofa"
"Baltic Sea","LLS","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","LLS","Scorpaena scrofa"
"Black Sea","LLS","Scorpaena scrofa"
"Celtic Seas","LLS","Scorpaena scrofa"
"Faroes","LLS","Scorpaena scrofa"
"Greater North Sea","LLS","Scorpaena scrofa"
"Icelandic Waters","LLS","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","LLS","Scorpaena scrofa"
"Oceanic Northeast Atlantic","LLS","Scorpaena scrofa"
"Western Mediterranean Sea","LLS","Scorpaena scrofa"
"Adriatic Sea","OTB","Scorpaena scrofa"
"Aegean-Levantine Sea","OTB","Scorpaena scrofa"
"Baltic Sea","OTB","Scorpaena scrofa"
"Barents Sea","OTB","Scorpaena scrofa"
"Bay of Biscay and the Iberian Coast","OTB","Scorpaena scrofa"
"Celtic Seas","OTB","Scorpaena scrofa"
"Faroes","OTB","Scorpaena scrofa"
"Greater North Sea","OTB","Scorpaena scrofa"
"Greenland Sea","OTB","Scorpaena scrofa"
"Icelandic Waters","OTB","Scorpaena scrofa"
"Ionian Sea and the Central Mediterranean Sea","OTB","Scorpaena scrofa"
"Norwegian Sea","OTB","Scorpaena scrofa"
"Oceanic Northeast Atlantic","OTB","Scorpaena scrofa"
"Western Mediterranean Sea","OTB","Scorpaena scrofa"
NA,"OTB","Scorpaena scrofa"
"Baltic Sea","PTB","Scorpaena scrofa"
